City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,vadso,70.0744,29.7487,15.49,76,0,3.6,NO,1720147992
264,apucarana,-23.5508,-51.4608,19.07,47,0,1.37,BR,1720147994
265,borogontsy,62.6683,131.1683,12.07,72,100,3.22,RU,1720147995
266,orange cove,36.6244,-119.3137,40.43,21,0,3.09,US,1720147996
267,as sulayyil,20.4607,45.5779,30.14,13,10,6.9,SA,1720147997
268,ukiah,39.1502,-123.2078,34.25,24,4,2.0,US,1720147998
269,port nelson,23.6333,-74.8333,28.19,78,34,3.03,BS,1720148001
270,bafra,41.5678,35.9069,21.38,74,6,2.63,TR,1720148002
271,palmer,42.1584,-72.3287,23.29,80,100,1.54,US,1720148003
272,brisas de zicatela,15.8369,-97.0419,27.59,83,52,2.86,MX,1720148004
273,nueva concepcion,14.2,-91.3,25.05,92,77,1.26,GT,1720148007
274,kapa'a,22.0752,-159.319,27.18,76,20,6.17,US,1720148008
275,st. john's,47.5649,-52.7093,12.53,94,100,2.8,CA,1720148009
276,pathein,16.7833,94.7333,28.65,77,100,4.82,MM,1720148010
277,ishigaki,24.3448,124.1572,32.07,74,40,3.6,JP,1720148011
278,baytown,29.7355,-94.9774,31.18,81,100,4.89,US,1720148012
279,noumea,-22.2763,166.4572,19.99,66,100,7.0,NC,1720147925
280,purwokerto,-7.4214,109.2344,29.82,68,83,1.1,ID,1720148015
281,richfield,44.8833,-93.283,18.23,92,75,2.57,US,1720148016
282,sorong,-0.8833,131.25,28.63,72,99,1.16,ID,1720148017
283,dubbo,-32.25,148.6167,18.07,55,75,6.69,AU,1720148018
284,pariaman,-0.619,100.12,31.03,69,96,1.93,ID,1720148019
285,hamilton,39.1834,-84.5333,25.55,92,100,5.36,US,1720147891
286,constantia,44.1833,28.65,18.38,76,0,5.16,RO,1720148022
287,daru,-9.0763,143.2092,25.96,89,100,7.65,PG,1720148023
288,gisborne,-38.6533,178.0042,11.98,68,39,2.69,NZ,1720148024
289,boksitogorsk,59.474,33.8485,18.11,93,100,3.41,RU,1720148025
290,fushe-kruje,41.4783,19.7178,18.08,100,0,0.51,AL,1720148026
291,mount pearl,47.5166,-52.7813,12.07,94,100,0.45,CA,1720147926
292,klyuchi,52.2667,79.1667,18.28,80,100,3.85,RU,1720148030
293,isla vista,34.4133,-119.861,27.97,42,1,3.42,US,1720148031
294,qalat,32.1058,66.9083,30.98,34,78,2.84,AF,1720148032
295,chusovoy,58.3013,57.8131,24.71,71,0,0.62,RU,1720148035
296,ixtapa,20.7,-105.2,25.12,93,100,0.56,MX,1720148036
297,uyar,55.81,94.3153,17.15,91,100,1.24,RU,1720148037
298,port augusta,-32.5,137.7667,18.39,41,82,8.65,AU,1720148038
299,alofi,-19.0595,-169.9187,27.94,69,40,5.14,NU,1720148039
300,port alfred,-33.5906,26.891,12.39,71,40,6.65,ZA,1720148041
301,uliastay,47.7417,96.8444,18.15,38,95,1.47,MN,1720148042
302,moussoro,13.6408,16.4901,27.31,54,100,3.2,TD,1720148043
303,ashland,40.8167,-82.2665,22.15,96,100,3.03,US,1720148044
304,meulaboh,4.1363,96.1285,27.01,74,100,1.1,ID,1720148045
305,makoua,0.0069,15.6333,21.92,96,42,1.34,CG,1720148047
306,afaahiti,-17.75,-149.2833,25.93,77,88,8.3,PF,1720148048
307,karatuzskoye,53.6072,92.8667,22.01,64,47,1.5,RU,1720148049
308,coahuayana de hidalgo,18.7,-103.6583,25.84,89,54,0.73,MX,1720148050
309,mahanoro,-19.9,48.8,18.29,86,41,1.9,MG,1720148051
310,mancio lima,-7.6142,-72.8958,23.7,71,100,0.89,BR,1720148052
311,san jose del guaviare,2.5729,-72.6459,22.89,98,100,0.96,CO,1720148054
312,happy valley-goose bay,53.3168,-60.3315,21.17,60,75,8.23,CA,1720148055
313,quellon,-43.1167,-73.6167,4.39,78,83,3.48,CL,1720148056
314,nakatsugawa,35.4833,137.5,33.95,50,0,2.24,JP,1720148057
315,kourou,5.1552,-52.6478,24.03,93,100,1.98,GF,1720148058
316,hasaki,35.7333,140.8333,32.94,75,15,4.0,JP,1720148059
317,tralee,52.2704,-9.7026,10.38,97,100,2.02,IE,1720148061
318,aguie,13.506,7.7786,29.18,56,98,7.87,NE,1720148062
319,visby,57.6409,18.296,13.12,76,0,5.66,SE,1720148063
320,zeya,53.75,127.2667,34.65,30,99,1.61,RU,1720148064
321,ta`u,-14.2336,-169.5144,26.99,81,41,8.65,AS,1720148065
322,zagora,30.3484,-5.8365,28.37,12,0,0.48,MA,1720148068
323,loen,7.7601,168.2307,25.27,88,100,2.58,MH,1720148069
324,nanao,37.05,136.9667,34.11,47,1,6.54,JP,1720148070
325,mukachevo,48.4419,22.7179,13.59,94,51,1.81,UA,1720148071
326,severo-yeniseyskiy,60.3725,93.0408,23.8,44,89,2.37,RU,1720148074
327,ataq,14.5377,46.8319,28.01,34,84,1.87,YE,1720148075
328,sandnessjoen,66.0217,12.6316,13.29,79,100,2.75,NO,1720148076
329,bel ombre,-4.6167,55.4167,26.91,74,40,4.63,SC,1720148077
330,pella,59.7775,30.8181,18.03,96,100,3.18,RU,1720148078
331,shush,32.1942,48.2436,34.23,13,0,1.87,IR,1720148080
332,chinde,26.8212,87.7095,24.73,95,100,0.83,NP,1720148082
333,xinyuan,37.3,99.0,14.67,40,21,0.95,CN,1720148083
334,xai-xai,-25.0519,33.6442,18.16,76,1,2.0,MZ,1720148084
335,sinop,41.7711,34.8709,17.67,87,88,1.27,TR,1720148086
336,richards bay,-28.783,32.0377,14.71,59,0,3.07,ZA,1720148087
337,chinchilla,-26.75,150.6333,20.01,59,0,1.79,AU,1720148088
338,urengoy,65.9667,78.3667,24.89,60,44,7.59,RU,1720148089
339,carnarvon,-24.8667,113.6333,17.31,46,0,7.14,AU,1720148090
340,sierra grande,-41.606,-65.3557,3.36,44,1,10.66,AR,1720148092
341,lata,40.1629,-8.3327,20.51,71,0,0.38,PT,1720148093
342,fort mcmurray,56.7268,-111.381,26.77,41,0,6.69,CA,1720148094
343,fale old settlement,-9.3852,-171.2468,28.25,78,18,6.86,TK,1720148095
344,changnyeong,35.5415,128.4951,29.77,58,20,2.57,KR,1720148096
345,kadi,23.3,72.3333,27.92,92,100,2.18,IN,1720148097
346,opelousas,30.5335,-92.0815,28.94,83,0,1.54,US,1720148099
347,darnah,32.767,22.6367,24.05,74,0,5.81,LY,1720148100
348,sidi ifni,29.3797,-10.173,18.86,87,96,2.98,MA,1720148101
349,burang,30.25,81.1667,11.06,78,92,2.85,CN,1720148102
350,igarka,67.4667,86.5833,21.88,52,45,5.35,RU,1720148103
351,zalari,53.5584,102.5065,17.61,96,100,4.47,RU,1720148105
352,tripoli,32.8752,13.1875,23.34,68,0,3.33,LY,1720148106
353,brookings,44.3114,-96.7984,17.0,95,100,3.09,US,1720148107
354,chonchi,-42.6128,-73.8092,2.29,93,54,1.08,CL,1720148108
355,yilan,24.757,121.753,35.92,57,6,3.15,TW,1720148109
356,sake,-1.5736,29.045,18.28,73,90,0.43,CD,1720148111
357,urangan,-25.3,152.9,19.77,63,12,8.04,AU,1720148112
358,san patricio,28.017,-97.5169,29.38,73,7,6.05,US,1720148113
359,qamdo,31.1667,97.2333,14.25,58,97,2.73,CN,1720148114
360,plast,54.3691,60.8136,23.99,76,12,4.75,RU,1720148115
361,mao,39.8885,4.2658,21.31,83,0,1.54,ES,1720148117
362,tchamba,9.0333,1.4167,21.35,98,95,1.54,TG,1720148118
363,pont rouge,48.8833,-72.0825,18.16,86,82,4.48,CA,1720148119
